question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,single_diff,avg_diff,selected_diff,core_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,core_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,core_gain_vs_avg,residual_gain_vs_core,final_gain_vs_avg,final_gain_vs_single,route,sequential_outcome,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_3,ANS_CO_138,3.0,2.5,2.5,2.5,0.5,0.5,-0.5,-0.5,-0.5,-2.5,-2.5,0.5,0.5,0.5,2.5,2.5,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,BND,auto_adjusted,False,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.5,0.75,0.0,0.8125,0.520833,0.479167,accept_structured_lower,False,1.2,raise_blocked_by_core_overcredit_evidence,route:BND
CO_3,ANS_CO_139,7.0,4.5,4.5,4.5,4.5,4.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,True,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,1.0,1.0,0.0,1.0,0.666667,0.333333,keep_baseline,False,1.2,raise_blocked_by_core_overcredit_evidence,route:BND
CO_3,ANS_CO_141,8.0,7.5,7.5,7.5,7.5,7.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.125,0.0,0.125,0.083333,0.916667,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_145,6.0,5.0,5.2,5.2,5.2,6.4,-1.0,-0.8,-0.8,-0.8,0.4,1.0,0.8,0.8,0.8,0.4,0.2,0.0,0.4,0.0,0.4,0.4,0.6,BND,defer_human,False,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.25,0.0,0.125,0.25,0.1875,0.1875,0.8125,,True,1.2,validation_route_score_band_correction,route:BND
CO_3,ANS_CO_144,8.0,6.0,6.0,6.0,6.0,7.2,-2.0,-2.0,-2.0,-2.0,-0.8,2.0,2.0,2.0,2.0,0.8,0.0,0.0,1.2,0.0,1.2,1.2,1.2,BND,auto_kept_after_review,False,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.25,0.25,0.0,0.25,0.166667,0.833333,keep_baseline,True,1.2,validation_route_score_band_correction,route:BND
CO_3,ANS_CO_146,7.0,5.5,5.8,5.8,5.8,7.0,-1.5,-1.2,-1.2,-1.2,0.0,1.5,1.2,1.2,1.2,0.0,0.3,0.0,1.2,0.0,1.2,1.2,1.5,BND,defer_human,False,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.25,0.0,0.0,0.25,0.0,0.083333,0.916667,,True,1.2,validation_route_score_band_correction,route:BND
CO_3,ANS_CO_149,8.0,5.0,5.0,5.0,5.0,5.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,True,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_148,7.0,6.5,6.5,6.5,6.5,6.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_151,3.0,2.5,2.5,2.5,2.5,2.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,auto_kept_after_review,False,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.5,0.5,0.0,0.5,0.333333,0.666667,keep_baseline,False,1.2,raise_blocked_by_core_overcredit_evidence,route:BND
CO_3,ANS_CO_150,7.0,7.5,7.5,7.5,7.5,7.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_155,8.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_162,6.0,2.0,2.0,2.0,2.0,2.0,-4.0,-4.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,True,False,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_164,3.0,2.5,2.5,2.5,2.5,2.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,mixed_or_unknown,False,False,model_avg,model_avg_score,0.0,0.0,0.125,0.0,0.125,0.083333,0.916667,,False,0.0,zero_correction,route:POS
CO_3,ANS_CO_163,8.0,5.0,5.5,5.5,5.5,6.7,-3.0,-2.5,-2.5,-2.5,-1.3,3.0,2.5,2.5,2.5,1.3,0.5,0.0,1.2,0.0,1.2,1.2,1.7,BND,defer_human,True,True,False,mixed_or_unknown,False,False,model_avg,model_avg_score,0.5,0.0,0.0,0.5,0.125,0.208333,0.791667,,True,1.2,validation_route_score_band_correction,route:BND
