question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,single_diff,avg_diff,selected_diff,core_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,core_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,core_gain_vs_avg,residual_gain_vs_core,final_gain_vs_avg,final_gain_vs_single,route,sequential_outcome,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_4,ANS_CO_645,10.0,6.0,5.3,5.3,4.55,4.55,-4.0,-4.7,-4.7,-5.45,-5.45,4.0,4.7,4.7,5.45,5.45,-0.7,0.0,-0.75,-0.75,0.0,-0.75,-1.45,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.43,0.3,0.25,0.3,0.283333,0.716667,accept_structured_lower,False,0.0,zero_correction,global:*
CO_4,ANS_CO_651,20.0,19.0,19.7,19.7,19.7,19.7,-1.0,-0.3,-0.3,-0.3,-0.3,1.0,0.3,0.3,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7,BND,auto_kept_after_review,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.083333,0.111111,0.888889,keep_baseline,False,0.0,zero_correction,global:*
CO_4,ANS_CO_646,6.0,5.0,4.0,4.0,4.0,4.0,-1.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,BND,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4142,0.29,0.55,0.75,0.675,0.658333,0.341667,keep_baseline,False,0.0,zero_correction,global:*
CO_4,ANS_CO_652,16.0,19.0,18.7,18.7,18.7,18.7,3.0,2.7,2.7,2.7,2.7,3.0,2.7,2.7,2.7,2.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.033333,0.094444,0.905556,,False,0.0,zero_correction,global:*
CO_4,ANS_CO_656,11.0,7.0,7.3,7.3,7.3,7.3,-4.0,-3.7,-3.7,-3.7,-3.7,4.0,3.7,3.7,3.7,3.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2357,0.0,0.0,0.125,0.0,0.041667,0.958333,,False,0.0,zero_correction,global:*
CO_4,ANS_CO_659,20.0,20.0,18.7,18.7,16.95,16.95,0.0,-1.3,-1.3,-3.05,-3.05,0.0,1.3,1.3,3.05,3.05,-1.3,0.0,-1.75,-1.75,0.0,-1.75,-3.05,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.0,0.0,0.5,0.233333,0.244444,0.755556,accept_structured_lower,False,0.0,zero_correction,global:*
CO_4,ANS_CO_660,16.0,12.0,13.0,13.0,13.0,13.0,-4.0,-3.0,-3.0,-3.0,-3.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.8165,0.0,0.0,0.5,0.166667,0.222222,0.777778,keep_baseline,False,0.0,zero_correction,global:*
CO_4,ANS_CO_653,8.0,5.0,7.0,7.0,6.38,6.38,-3.0,-1.0,-1.0,-1.62,-1.62,3.0,1.0,1.0,1.62,1.62,2.0,0.0,-0.62,-0.62,0.0,-0.62,1.38,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.472,0.14,0.1,0.875,0.25,0.408333,0.591667,accept_structured_lower,False,0.0,zero_correction,global:*
CO_4,ANS_CO_662,14.0,14.0,14.8,14.8,14.8,14.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,-0.8,0.0,0.0,0.0,0.0,0.0,-0.8,BND,defer_human,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.6236,0.0,0.0,0.375,0.116667,0.163889,0.836111,keep_baseline,False,0.0,zero_correction,global:*
CO_4,ANS_CO_661,14.0,14.0,14.7,14.7,10.7,10.7,0.0,0.7,0.7,-3.3,-3.3,0.0,0.7,0.7,3.3,3.3,-0.7,0.0,-2.6,-2.6,0.0,-2.6,-3.3,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.14,0.1,0.5,0.266667,0.288889,0.711111,accept_structured_lower,False,0.0,zero_correction,global:*
CO_4,ANS_CO_663,8.0,11.5,10.8,10.8,8.05,8.05,3.5,2.8,2.8,0.05,0.05,3.5,2.8,2.8,0.05,0.05,0.7,0.0,2.75,2.75,0.0,2.75,3.45,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.233333,0.161111,0.838889,accept_structured_lower,False,0.0,zero_correction,global:*
CO_4,ANS_CO_664,15.0,11.0,12.3,12.3,12.3,12.3,-4.0,-2.7,-2.7,-2.7,-2.7,4.0,2.7,2.7,2.7,2.7,1.3,0.0,0.0,0.0,0.0,0.0,1.3,BND,auto_kept_after_review,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.14,0.1,0.5,0.3,0.3,0.7,keep_baseline,False,0.0,zero_correction,global:*
CO_4,ANS_CO_665,6.0,0.0,1.3,1.3,3.3,3.3,-6.0,-4.7,-4.7,-2.7,-2.7,6.0,4.7,4.7,2.7,2.7,1.3,0.0,2.0,2.0,0.0,2.0,3.3,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.0,0.0,0.5,0.1,0.2,0.8,accept_structured_raise,False,0.0,zero_correction,global:*
CO_4,ANS_CO_667,14.0,15.0,14.7,14.7,14.7,14.7,1.0,0.7,0.7,0.7,0.7,1.0,0.7,0.7,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.0,0.083333,0.916667,,False,0.0,zero_correction,global:*
CO_4,ANS_CO_668,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,global:*
CO_4,ANS_CO_666,15.0,6.0,5.3,5.3,7.3,7.3,-9.0,-9.7,-9.7,-7.7,-7.7,9.0,9.7,9.7,7.7,7.7,-0.7,0.0,2.0,2.0,0.0,2.0,1.3,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.43,0.3,0.5,0.3,0.366667,0.633333,accept_structured_raise,False,0.0,zero_correction,global:*
CO_4,ANS_CO_670,18.0,15.0,16.0,16.0,17.0,17.0,-3.0,-2.0,-2.0,-1.0,-1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,BND,auto_adjusted,False,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4142,0.0,0.0,0.75,0.266667,0.338889,0.661111,accept_structured_raise,False,0.0,zero_correction,global:*
CO_4,ANS_CO_673,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.0,zero_correction,global:*
