question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,single_diff,avg_diff,selected_diff,core_diff,final_diff,single_abs_error,avg_abs_error,selected_abs_error,core_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,core_gain_vs_avg,residual_gain_vs_core,final_gain_vs_avg,final_gain_vs_single,route,sequential_outcome,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action,score_calibration_applied,score_calibration_correction,score_calibration_reason,score_calibration_lookup
CO_4,ANS_CO_646,6.0,3.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.55,0.5,0.0,0.55,0.35,0.65,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_651,20.0,20.0,19.7,19.7,19.7,19.7,0.0,-0.3,-0.3,-0.3,-0.3,0.0,0.3,0.3,0.3,0.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.0,0.0,0.25,0.041667,0.097222,0.902778,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_652,16.0,17.0,16.7,16.7,16.7,17.69,1.0,0.7,0.7,0.7,1.69,1.0,0.7,0.7,0.7,1.69,0.3,0.0,-0.99,0.0,-0.99,-0.99,-0.69,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.8498,0.0,0.0,0.5,0.05,0.183333,0.816667,,True,0.9879,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_653,8.0,8.67,8.6,8.6,8.6,8.6,0.67,0.6,0.6,0.6,0.6,0.67,0.6,0.6,0.6,0.6,0.07,0.0,0.0,0.0,0.0,0.0,0.07,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4793,0.36,0.375,0.2925,0.45,0.3725,0.6275,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_645,10.0,6.0,4.3,4.3,8.3,9.51,-4.0,-5.7,-5.7,-1.7,-0.49,4.0,5.7,5.7,1.7,0.49,-1.7,0.0,5.21,4.0,1.21,5.21,3.51,BND,auto_adjusted,True,True,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.6997,0.27,0.3,1.0,0.383333,0.561111,0.438889,accept_structured_raise,True,1.2062,validation_route_score_band_correction,global:*
CO_4,ANS_CO_659,20.0,15.0,15.8,15.8,15.8,15.8,-5.0,-4.2,-4.2,-4.2,-4.2,5.0,4.2,4.2,4.2,4.2,0.8,0.0,0.0,0.0,0.0,0.0,0.8,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.1785,0.0,0.0,0.625,0.083333,0.236111,0.763889,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_656,11.0,11.0,10.1,10.1,10.1,11.09,0.0,-0.9,-0.9,-0.9,0.09,0.0,0.9,0.9,0.9,0.09,-0.9,0.0,0.81,0.0,0.81,0.81,-0.09,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9647,0.0,0.0,0.5625,0.158333,0.240278,0.759722,,True,0.9879,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_661,14.0,16.0,15.5,15.5,15.5,16.49,2.0,1.5,1.5,1.5,2.49,2.0,1.5,1.5,1.5,2.49,0.5,0.0,-0.99,0.0,-0.99,-0.99,-0.49,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4082,0.0,0.0,0.25,0.0,0.083333,0.916667,,True,0.9879,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_662,14.0,12.5,13.7,13.7,13.7,14.69,-1.5,-0.3,-0.3,-0.3,0.69,1.5,0.3,0.3,0.3,0.69,1.2,0.0,-0.39,0.0,-0.39,-0.39,0.81,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.0274,0.09,0.1,0.625,0.266667,0.330556,0.669444,,True,0.9879,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_660,16.0,10.75,12.4,12.4,12.4,12.4,-5.25,-3.6,-3.6,-3.6,-3.6,5.25,3.6,3.6,3.6,3.6,1.65,0.0,0.0,0.0,0.0,0.0,1.65,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.1961,0.0,0.0625,0.6875,0.179167,0.309722,0.690278,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_663,8.0,7.0,7.4,7.4,7.4,8.39,-1.0,-0.6,-0.6,-0.6,0.39,1.0,0.6,0.6,0.6,0.39,0.4,0.0,0.21,0.0,0.21,0.21,0.61,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.432,0.0,0.0,0.25,0.033333,0.094444,0.905556,,True,0.9879,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_664,15.0,9.0,9.0,9.0,9.0,9.0,-6.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.09,0.1,0.0,0.225,0.108333,0.891667,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_665,6.0,6.0,7.3,7.3,7.3,7.3,0.0,1.3,1.3,1.3,1.3,0.0,1.3,1.3,1.3,1.3,-1.3,0.0,0.0,0.0,0.0,0.0,-1.3,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.9428,0.0,0.0625,0.5,0.210417,0.257639,0.742361,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_666,15.0,7.5,7.5,7.5,7.5,7.5,-7.5,-7.5,-7.5,-7.5,-7.5,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.09,0.1,0.0,0.1,0.066667,0.933333,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_667,14.0,11.5,11.8,11.8,11.8,11.8,-2.5,-2.2,-2.2,-2.2,-2.2,2.5,2.2,2.2,2.2,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.3,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.25,0.0,0.0,0.125,0.225,0.116667,0.883333,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_668,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.066667,0.022222,0.977778,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_672,19.0,18.0,18.0,18.0,18.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.2573,0.0,0.0,0.1575,0.0,0.0525,0.9475,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_673,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_674,11.0,7.0,7.3,7.3,7.3,7.3,-4.0,-3.7,-3.7,-3.7,-3.7,4.0,3.7,3.7,3.7,3.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4714,0.36,0.45,0.25,0.525,0.408333,0.591667,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_670,18.0,13.0,13.5,13.5,13.5,14.49,-5.0,-4.5,-4.5,-4.5,-3.51,5.0,4.5,4.5,4.5,3.51,0.5,0.0,0.99,0.0,0.99,0.99,1.49,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.4082,0.0,0.0,0.25,0.033333,0.094444,0.905556,,True,0.9879,validation_route_score_band_correction,route:POS
CO_4,ANS_CO_678,9.0,8.0,8.0,8.0,8.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,auto_accepted,False,False,True,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_679,14.0,10.5,11.5,11.5,11.5,11.5,-3.5,-2.5,-2.5,-2.5,-2.5,3.5,2.5,2.5,2.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,1.4142,0.0,0.0,0.75,0.158333,0.302778,0.697222,,False,0.9879,raise_blocked_by_core_overcredit_evidence,route:POS
CO_4,ANS_CO_675,20.0,18.0,17.8,17.8,17.8,18.79,-2.0,-2.2,-2.2,-2.2,-1.21,2.0,2.2,2.2,2.2,1.21,-0.2,0.0,0.99,0.0,0.99,0.99,0.79,POS,auto_accepted,True,False,False,algorithmic_or_mapping,True,False,model_avg,model_avg_score,0.3536,0.0,0.0,0.1875,0.041667,0.076389,0.923611,,True,0.9879,validation_route_score_band_correction,route:POS
